player_id,NumOfInningsBatted,NotOutInnings,runs_scored,balls_faced,Bat_AVG,Bat_SR,MRA,BRPI,HS,NumOfIngsBowled,balls_bowled,runs_conceded,WCKTS,BW_AVG,BW_SR,BW_ECN,MDO
1313,6,0,155,275,25.833,0.564,0,11.667,49,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
1310,2,0,1,9,0.5,0.111,0,0,1,2,90,79,5,15.8,18,5.267,1
,,,,,,,,,,,,,,,,,
404,5,1,141,212,35.25,0.665,0.2,8,60,3,100,63,2,31.5,50,3.78,3
,,,,,,,,,,,,,,,,,
101,6,0,206,284,34.333,0.725,0.167,11,104,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
912,6,1,324,372,64.8,0.871,0.333,27.333,131,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
1402,5,0,50,109,10,0.459,0,3.2,35,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
1411,4,2,37,59,18.5,0.627,0,4,11,6,294,169,9,18.778,32.667,3.449,7
,,,,,,,,,,,,,,,,,
211,4,1,70,116,23.333,0.603,0,2.5,38,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
302,6,0,76,72,12.667,1.056,0,10,37,6,245,248,6,41.333,40.833,6.074,1
,,,,,,,,,,,,,,,,,
212,4,3,11,19,11,0.579,0,2,8,6,238,216,5,43.2,47.6,5.445,0
,,,,,,,,,,,,,,,,,
911,6,0,142,165,23.667,0.861,0.167,10,57,5,172,127,4,31.75,43,4.43,0
,,,,,,,,,,,,,,,,,
416,1,0,0,3,0,0,0,0,0,3,154,153,6,25.5,25.667,5.961,2
,,,,,,,,,,,,,,,,,
1419,2,0,58,65,29,0.892,0,11,30,2,66,40,0,40,66,3.636,0
,,,,,,,,,,,,,,,,,
1305,4,1,114,225,38,0.507,0,7,44,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
1302,5,1,16,35,4,0.457,0,0.8,6,6,287,238,12,19.833,23.917,4.976,3
,,,,,,,,,,,,,,,,,
512,3,2,74,75,74,0.987,0,8.667,36,1,12,12,1,12,12,6,0
,,,,,,,,,,,,,,,,,
704,4,1,10,26,3.333,0.385,0,1.5,9,5,252,235,3,78.333,84,5.595,2
,,,,,,,,,,,,,,,,,
714,5,0,44,86,8.8,0.512,0,4,13,3,126,117,1,117,126,5.571,1
,,,,,,,,,,,,,,,,,
112,3,1,53,51,26.5,1.039,0,7.333,25,5,162,139,1,139,162,5.148,0
,,,,,,,,,,,,,,,,,
514,9,0,482,524,53.556,0.92,0.444,28.444,120,2,24,21,0,21,24,5.25,0
,,,,,,,,,,,,,,,,,
114,6,0,290,314,48.333,0.924,0.5,28.333,94,7,234,178,3,59.333,78,4.564,2
,,,,,,,,,,,,,,,,,
113,1,1,0,1,0,0,0,0,0,7,312,264,11,24,28.364,5.077,3
,,,,,,,,,,,,,,,,,
715,4,0,38,90,9.5,0.422,0,3,17,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
1010,2,1,1,10,1,0.1,0,0,1,3,156,93,5,18.6,31.2,3.577,1
,,,,,,,,,,,,,,,,,
213,5,1,26,50,6.5,0.52,0,4.4,24,6,236,203,6,33.833,39.333,5.161,4
,,,,,,,,,,,,,,,,,
1001,7,0,84,67,12,1.254,0,6,20,8,447,270,21,12.857,21.286,3.624,4
,,,,,,,,,,,,,,,,,
214,2,0,42,72,21,0.583,0,10,37,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
201,6,0,142,200,23.667,0.71,0.167,9.333,55,6,278,223,8,27.875,34.75,4.813,0
,,,,,,,,,,,,,,,,,
1011,1,0,0,2,0,0,0,0,0,3,144,122,3,40.667,48,5.083,1
,,,,,,,,,,,,,,,,,
307,4,0,23,53,5.75,0.434,0,2,9,1,3,1,0,1,3,2,0
,,,,,,,,,,,,,,,,,
910,3,0,14,21,4.667,0.667,0,1.333,8,8,434,312,18,17.333,24.111,4.313,9
,,,,,,,,,,,,,,,,,
605,4,1,42,46,14,0.913,0,5.5,17,5,260,240,8,30,32.5,5.539,2
,,,,,,,,,,,,,,,,,
806,6,1,174,259,34.8,0.672,0.167,12,55,6,164,153,4,38.25,41,5.598,3
,,,,,,,,,,,,,,,,,
1203,9,1,500,551,62.5,0.907,0.444,29.778,144,7,186,126,8,15.75,23.25,4.065,2
,,,,,,,,,,,,,,,,,
709,5,0,102,143,20.4,0.713,0.2,11.2,51,4,150,134,3,44.667,50,5.36,3
,,,,,,,,,,,,,,,,,
702,5,0,133,200,26.6,0.665,0.4,11.6,72,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
807,5,0,50,88,10,0.568,0,2.4,28,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
1410,2,1,4,13,4,0.308,0,2,4,2,69,93,0,93,69,8.087,0
,,,,,,,,,,,,,,,,,
1212,4,1,44,31,14.667,1.419,0,6.5,22,4,186,174,7,24.857,26.571,5.613,0
,,,,,,,,,,,,,,,,,
405,5,1,41,50,10.25,0.82,0,2.8,20,7,378,309,9,34.333,42,4.905,5
,,,,,,,,,,,,,,,,,
1213,7,4,110,149,36.667,0.738,0,5.714,34,1,12,4,1,4,12,2,0
,,,,,,,,,,,,,,,,,
1413,6,0,189,243,31.5,0.778,0.333,13.333,98,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
