player_id,NumOfInningsBatted,NotOutInnings,Bat_AVG,Bat_SR,MRA,BRPI,HS,NumOfIngsBowled,BW_AVG,BW_SR,BW_ECN,MDO,HW
1215,9,2,56.429,83.69,0.333,24.444,133,0,0.0,0.0,0.0,0,0
1012,6,1,48.0,86.96,0.167,19.0,71,0,0.0,0.0,0.0,0,0
1013,3,2,38.0,118.75,0.0,6.0,34,8,19.429,25.929,4.496,5,0
508,9,1,35.25,82.22,0.222,12.0,100,2,12.0,12.0,6.0,0,0
502,8,0,47.5,122.58,0.25,29.75,175,0,0.0,0.0,0.0,0,0
1412,2,0,33.0,97.06,0.5,19.0,61,0,0.0,0.0,0.0,0,0
803,6,0,25.5,65.95,0.0,14.0,44,0,0.0,0.0,0.0,0,0
1111,1,0,0.0,0.0,0.0,0.0,0,1,4.0,24.0,1.0,1,0
601,6,0,30.0,66.67,0.333,15.0,75,0,0.0,0.0,0.0,0,0
1014,2,0,4.0,47.06,0.0,2.0,8,5,19.75,25.375,4.67,0,1
511,6,1,14.8,115.63,0.0,8.333,30,6,167.0,210.0,4.771,2,0
1015,7,1,30.833,70.88,0.286,6.286,72,0,0.0,0.0,0.0,0,0
515,8,4,90.5,86.19,0.625,21.75,113,9,25.133,30.0,5.027,2,1
314,6,0,17.333,45.02,0.0,4.667,34,0,0.0,0.0,0.0,0,0
507,4,0,4.5,85.71,0.0,2.0,9,9,18.762,23.286,4.834,4,0
306,0,0,0.0,0.0,0.0,0.0,0,1,20.0,18.0,6.667,0,0
1206,0,0,0.0,0.0,0.0,0.0,0,1,43.0,54.0,4.778,0,0
513,0,0,0.0,0.0,0.0,0.0,0,2,105.0,78.0,8.077,0,0
1408,0,0,0.0,0.0,0.0,0.0,0,1,44.0,36.0,7.333,1,0
215,0,0,0.0,0.0,0.0,0.0,0,1,33.0,60.0,3.3,1,0